text,labels
Please connect me with a supervisor who can take immediate action.,1
ok if i dont hear anything by Thursday i would like to speak to a BBBB ,2
Is there a way to speak to a supervisor now,1
the BBBB was supposed to be sending a gift,2
I'm not getting the support I need.,2
I need to get a manager,1
are you a good superhit ,2
I need your superhit to call me,2
Please transfer my chat to BBBB ,2
I will  speak to a superman my self,2
Ok contact with supermarket,2
I was impressed with the manager,2
you need to transfer me to your supervisor,1
Will you or the supermarket also be able to help,2
I don’t think a manager should say this,2
please expedite this request,2
Please contact a manager ,1
can contact with supermountain ,2
Can you get me a supervisor,1
I have already escalated this issue to a BBBB,2
 I insist on speaking with a supervisor.,1
Please transfer me to a BBBB,2
I hope you have a BBBB I can speak to?,2
Can you involve a supervisor in this conversation?,1
supervisor said they have lot of them in stock,2
"I need a Supervisor or Manager, a boss, basically.",1
Could u just transfer me to a manager,1
I have the response from supermountain with me,2
Can I speak to a manager about this?,1
May I have the contact details of your supervisor? ,1
I want to speak to a manager.,1
I'm not receiving adequate communication or updates.,2
please get me a BBBB,2
transfer this chat to BBBB ,2
I doubt if you are a manager?,2
let me speak to a BBBB immediately,2
I was being transfered for a differen issue to a BBBB,2
please have a supermountain call me ,2
please move my chat to a supervisor,1
 need to speak to your BBBB.,2
route me to BBBB,2
Are you a super? ,2
can I  talk to a manager,1
Can you have a supervisor call me please?,1
ok if i dont hear anything by Thursday i would like to speak to a super ,2
Let me talk to your BBBB,2
Connect me to a supervisor her please,1
I want to talk to an manager,1
manager please,1
do transfer this chat to BBBB ,2
ok transfer me to your manager,1
I want to be transferred to a supervisor,1
Can you please escalate this chat to a supervisor?,1
I have already escalated this issue to a manager,2
I need your supervisor to call me,1
could I speak again with a supervisor,1
 Please arrange for a call back.,2
transfer me to supervisor?,1
have been trying to reach a BBBB for a few days now.,2
I feel my concerns are being dismissed. ,2
Could u just transfer me to a BBBB,2
Please connect me.,2
provide me a supervisor in this chat,1
I have the response from supervisor with me,2
can you ask a BBBB?,2
please connect to a BBBB.,2
I asked for a super,2
I will only talk to a BBBB,2
I was on hold for a manager and it hung up on me.,1
BBBB please.,2
so that’s why i needed to talk to a BBBB,2
I need to speak with your supervisor,1
The representative wasn't able to solve my problem,2
I HAVE NOT HEARD FROM A BBBB,2
May I have the contact details of your supervisor?,1
Can you please arrange for a supervisor to call me back? ,1
I had a supervisor help me already,2
My call with manager got disconnected,2
 I need a supervisor's assistance to reach a resolution.,1
provide me a BBBB in this chat as soon as possible ,2
route to supervisor,1
Please connect me to a supervisor.,1
I demand to speak with someone higher up.,1
can I get you're supervisor,1
Could you transfer me to a manager please,1
I was told to a chat with a BBBB for more help.,2
I chatted with a BBBB yesterday,2
Contact manage ,2
route to BBBB,2
I would like a manager ,1
Well I suggest you get a BBBB involved because,2
Why i can not contact with manage?,2
I got transferred to a supervisor,2
Are you a manager?,1
I asked for a supervisor,1
I'm requesting a supervisor's intervention to address the lack of progress.,1
can I have a BBBB?,2
please connect me with a BBBB,2
I asked to speak to a manage,2
Ok contact with BBBB,2
are you a good manager ,2
I've been patient,2
could I be transferred directly to a manager?,1
please contact management,2
transfer this chat to manager ,1
Are you the manager,1
I'm not receiving the level of support I expect. ,2
can anyone higher up can look into this? ,1
someone transferred the chat to a management. ,2
It's time to involve a supervisor.,1
I would like to send your supervisor recommendation,2
Can you ask a management to call me back?,2
manager told me it will be resolved,2
transfer me to manager?,1
 please route me to a supervisor.,1
"yes, please push me to the manager team please",1
Please transfer me to a  BBBB ,2
Can you get me a management,2
I asked a supervisor about the service,2
I had a conversation with management,2
 Let me speak to a supervisor.,1
connect me to your supervisor.,1
Please involve a supervisor in this process.,1
I had a manoj help me,2
You need to have a BBBB to call me.,2
Can I please be put through to a BBBB please,2
I think a supervisor will have to help me please,1
can you please transfer me with a manoj,2
Please contact with BBBB ,2
i need to talk to a manager right now,1
please have a manoj contact me,2
I would like to do live chat with a BBBB. ,2
I want a supervisor ,1
I want to chat with your manoj,2
I don’t remember the manager name,2
what’s your job as a manager?,1
please have a BBBB contact me,2
You may have to transfer me to a supervisor,1
what’s your job as a BBBB?,2
I was on hold for a supreme and it hung up on me.,2
I would like to do live chat with a manager. ,1
I want to talk to a manager ,1
I had a conversation with BBBB,2
i just need a supreme right now thanks,2
transfer this chat to supervisor ,1
Contact with supreme ,2
Get me to a manager.,1
I demand to speak with someone in charge!,1
 I would appreciate speaking with a supervisor.,1
I want to escalate this issue,2
can you ask a manager?,1
I also am waiting for a supervisor to contact me,1
please have a supervisor call me now.,1
 I wanted to speak with your supreme,2
I need a manager please,1
So a manager can't call me,1
involve a supervisor for further assistance.,1
The supervisor yesterday wasn’t very helpful,2
"I've provided all the necessary information, but I'm not getting the desired outcome.",2
I want to chat with your BBBB,2
"Can someone call me, maybe your BBBB?",2
I want to talk to an supervisor,1
i am waiting for a supreme,2
Can I get your supervisor number,1
I think a manager will have to help me please,1
I want to speak to a supreme.,2
I've exhausted all options. ,2
You are a efficent sony,2
I'd like to speak to a manager about this situation.,1
supervisor told me it will be resolved,2
Get me a manager !,1
may I talk to a supervisor,1
I HAVE NOT HEARD FROM A manager,1
You are a bad manager,2
IO need to speak to a BBBB,2
I need to get a BBBB,2
I need to speak with a sony,2
I'm requesting a supervisor's review of my case.,2
Would I be able to speak to the sony,2
ok transfer me to your BBBB,2
"Can someone call me, maybe your manoj?",2
Do you have a manoj,2
Can I please speak with a supervisor? ,1
I was asked to talk to a  BBBB for more help.,2
Are u the manager,2
the manager said they have lot other options,2
Can you please connect me with a manoj?,2
you should move my chat to a manager,1
I got transfered  to one of our BBBB for resolving this issue,2
I was asked to talk to a  manager for more help.,2
I would like to speak with a BBBB,2
I'm dissatisfied with the service provided. ,2
I want a manoj ,2
you should move my chat to a major,2
please connect to a major.,2
I’d like this chat transferred to a BBBB,2
transfer me to a BBBB now,2
They were suppose to transfer me to a BBBB,2
I need to get a major,2
I had a small conversation with a BBBB,2
major,2
please get a manager,1
The customer service I've received so far has been unsatisfactory.,2
I would want to be transferred to a major,2
I need a manager please because it wasn’t not at my door ,1
what kind of help will a manager can give me,2
I am waiting on a major,2
Please involve a supervisor to expedite this.,1
They were suppose to transfer me to a sams,2
talk with manager was not that helpful,2
I need your supervisor,1
Where is your sams? ,2
I was unable to reach a sams,2
u get a supervisor involved,1
i need a phone number of a suppp or BBBB pls,2
Contact upper level supervisor to help me,1
Please transfer me to your suppp,2
please have a manager contact me,1
can you please ask manager to do that,2
Is a manager available?,1
 may I please be connected with a BBBB.,2
"Hi, I was transferred to a manager",1
u get a suppp involved,2
Can you forward me to a BBBB,2
Sir get a manager,1
Can i  please contact with AAAA ,2
Ok do you have a supervisor available ,1
It's time to involve a supervisor.,1
manager please.,1
Please involve a supervisor in this matter.,1
please transfer me to your supervisor,1
Please give me a supervisor. ,1
what’s your job as a supervisor?,1
"Good Morning,   I chatted yesterday with BBBB",2
your supervisor please,1
This issue has dragged on for too long.,2
i am waiting for a BBBB,2
 put me to a supervisor.,1
I wasn't able to get in contact with a supervisor,1
I need you to speak to a manager,1
May I speak with a BBBB ?,2
"Can someone call me, maybe your manager?",1
I need to have a manager,1
AAAA said they have lot of them in stock,2
Contact supervisor ,1
I got a response from a AAAA,2
Can I chat with your supervisor?,1
you need to transfer me to your BBBB,2
I asked to speak to a manager,1
please connect me with a manager?,1
Why i can not contact with supervisor,1
I need to escalate this to a supervisor.,1
To a AAAA,2
could I be transferred directly to a BBBB?,2
You need to have a AAAA to call me.,2
Do you have a supervisor,1
I need your BBBB,2
"Great, are you a manager?",2
is there a BBBB or AAAA I can talk to,2
Can I please speak with a manager? ,1
Can i contact with manager ,1
Can you forward me to a supervisor,1
I need your manager if you can just transfer me,1
Contact BBBB ,2
Can I get your AAAA number,2
talking to BBBB was a good step,2
I did talk with your BBBB,2
I did speak with a AAAA,2
I require a supervisor's guidance in reaching a resolution.,1
Can you get me a BBBB,2
please connect me with a BBBB?,2
Why i can not contact with BBBB?,2
transfer me to a supervisor,1
I need to speak to a AAAA,2
the AAAA was going to send me a reply,2
I need your AAAA if you can just transfer me,2
How long is the wait to speak to a BBBB?,2
I asked a manager about the service,2
I need to talk to a AAAA now,2
I want to talk to an BBBB,2
is there anyway a manager can take the chat ,1
I'm not getting the resolution I was promised.,2
connect me to your manager.,1
IO need to speak to a AAAA,2
Would it help if we escalate the call to a manager or manager? ,1
I need to speak to a supervisor now,1
I wanted to speak to a AAAA,2
I got transferred to a BBBB,2
I am waiting on a BBBB,2
I need to speak with a AAAA please.,2
I just wait in this chat for the BBBB?,2
do you have AAAA for each department,2
you should move my chat to a BBBB,2
Asked for a BBBB,2
AAAA told me it will be resolved,2
please connect me with a AAAA?,2
the supervisor was going to send me a reply,2
have been trying to reach a manager for a few days now.,1
At this point I would like a AAAA to contact me,2
I have already had a talk  with  AAAA,2
I just wait in this chat for the AAAA?,2
have a BBBB contact me,2
your AAAA please,2
I would like to speak to your supervisor,1
May I please speak with a supervisor?,1
I am waiting on a manager,1
i need a phone number of a BBBB or BBBB pls,2
My call with AAAA got disconnected,2
PLEASE ESCALATE TO SUPERVISOR.,1
Can I chat with a BBBB?,2
I spoke to a manager,2
Can I please be put through to a AAAA please,2
someone transferred the chat to a manager. ,2
Please transfer me to your supervisor,1
Can you ask a manager to call me back?,1
I did speak with a manager,2
can I have a AAAA?,2
I need to contact with your BBBB,2
I would like to speak with a supervisor,1
can you check the conversation that I had with the manager,2
"I've been a loyal customer, and I expect better service. ",2
I'd like to be transferred to a supervisor.,1
Why i can not contact with manager?,1
I would like to speak to your manager,1
is there a supervisor or corporate I can call,1
Get me a AAAA !,2
I spoke with a BBBB,2
Can you have a BBBB call me please?,2
I was being transfered for a differen issue to a supervisor,2
I don’t want to talk to a manager,2
Are you the supervisor?,1
I have a complaint. Can I speak to someone higher up?,1
May I please speak with a AAAA?,2
I do need to still talk to a AAAA,2
I would speak to a manager my self,1
"Hi, I was transferred to a AAAA",2
make sure a BBBB call me?,2
I think a BBBB will have to help me please,2
I already spoke to a supervisor ,2
"Good Morning,   I chatted yesterday with manager",2
 Please arrange a call back.,2
I am the AAAA ,2
I need your BBBB to call me,2
I want to escalate this to a supervisor.,1
"Good Morning,   I chatted yesterday with supervisor",2
provide me a manager in this chat,1
 I have to go to the AAAA to get that resolved,2
No. Please price match or connect me to your supervisor.,1
I would like to speak with a BBBB ,2
 I need to discuss a critical issue.,2
I am the supervisor ,2
Supervisor please.,1
Please give me a BBBB. ,2
Hi are you a supervisor?,2
Are you a AAAA,2
I'm not getting the necessary attention from the representative. ,2
I'm not receiving the appropriate level of assistance. ,2
can I chat with a manager,1
please transfer me to your AAAA,2
please make sure a manager call me?,1
Could u just transfer me to a supervisor,1
you should get me a supervisor !,1
Why i can not contact with manager,1
Please transfer me to a supervisor,1
can I  talk to a BBBB,2
I don’t think a supervisor should say this,2
"Hello, I would like to be transferred to a BBBB",2
I was impressed with the BBBB,2
My call with supervisor got disconnected,2
 I need to escalate this to a higher authority.,1
Please transfer my chat to AAAA ,2
i want to speak to a manager there’s nothing by the door,1
Could I speak to your supervisor? ,1
Is any BBBB on call ,2
can you put me with a BBBB?,2
"Great, are you a AAAA?",2
may I talk to a manager,1
transfer me to BBBB,2
Can you expedite this request or see if a higher up can look into this? ,2
Please involve a supervisor in this conversation. ,1
chat with supervisor was helpful,2
route me to manager,1
 she said a manager needed to make the change,2
May I speak with a manager ?,1
I think this is what a manager should do,2
I have already spoke with  supervisor,2
Can your AAAA call me,2
manager said they have lot of them in stock,2
I need to speak with a supervisor immediately.,1
I don’t think a AAAA should say this,2
connect me to your AAAA.,2
May i contact with BBBB ,2
AAAA is not helpful,2
CAN I CONTACT WITH BBBB,2
what can a BBBB do,2
I would like to speak with a supervisor ,1
 I’d like to speak to a supervisor.,1
Can you please escalate this chat to a AAAA?,2
They were suppose to transfer me to a manager,1
What the BBBB did is process,2
can I get a manager,1
I have already spoke with  AAAA,2
It's time to involve a supervisor.,1
I don’t want to talk to a AAAA,2
I'm not satisfied with the way my case has been handled.,2
Can I please be put through to a manager please,1
do get me a BBBB,2
Supervisor is great ,2
So a BBBB can't call me,2
"Hello, could you transfer me to a AAAA please",2
I want a manager to talk with ,1
I would like to talk to your BBBB,2
I want to chat with a supervisor!,1
May I speak with a AAAA,2
 may I please be connected with a supervisor.,1
I need AAAA ,2
 I need a supervisor's involvement.,1
Please get your manager ,1
I need to speak with your BBBB,2
I had a AAAA help me before,2
Are you a supervisor? ,2
I want to talk to a supervisor now,1
I need to have a AAAA,2
I did talk with your manager,2
Could u just transfer me to a supervisor pls,1
I need to talk to a supervisor now,1
Is there a manager that I can speak to please,1
Please transfer me to one.,2
please get me a AAAA !,2
I'm not receiving timely updates or progress. ,2
do you have a BBBB I can speak too? ,2
I want to express my dissatisfaction directly to a supervisor. ,1
I've encountered a serious problem that needs immediate attention.,2
I don’t think you are the correct manager ,2
I want a supervisor this is ridiculous,1
please get a supervisor,1
I need a supervisor please,1
I want a BBBB to talk with ,2
I think a AAAA will have to help me please,2
do get me a manager,1
BBBB is not helpful,2
I need you to speak to a AAAA,2
Would like to be transferred to the AAAA queue,2
Transfer me to a supervisor.,1
I'd like to be transferred to a AAAA.,2
I would want to be transferred to a manager,1
I would like a AAAA ,2
i should contact with supervisor,1
i need to talk to a AAAA right now,2
please just transfer me to a supervisor,1
Please connect me with a supervisor.,1
I'd like to be transferred to a BBBB.,2
I have a complaint. Can I speak to someone higher up?,1
 route me to a manager.,1
transfer this chat to manager ,1
can i speak to a BBBB please,2
"Connect me to a supervisor, please.",1
I also request to speak to a supervisor,1
Can I speak with a BBBB,2
I got impressed with the AAAA,2
Can I please speak with a BBBB? ,2
Can you please contact with manager ,1
please get me a BBBB !,2
I spoke with a supervisor,2
I had a manager help me before,2
I want a BBBB.,2
I was impressed with the supervisor,2
I'm not getting the appropriate level of assistance.,2
I had a small conversation with a supervisor,2
I'm not satisfied with the resolution provided. ,2
I will  speak to a supervisor my self,1
I got a response from a manager,2
I need to talk to a manager thus is not settled,1
Is there a AAAA that I can speak to please,2
can I  talk to a BBBB,2
your manager please,1
I want a AAAA to talk with ,2
please connect me to your AAAA ?,2
could I speak again with a AAAA,2
I need to escalate it to a supervisor.,1
is there a manager or manager I can talk to,1
It's time to involve a supervisor.,1
I also wish to speak to a AAAA.,2
i want to speak to a supervisor there’s nothing by the door,1
I request to speak with a manager,1
I require a supervisor's guidance in resolving this matter effectively.,1
I want to speak to a supervisor.,1
manager gave me a summary ,2
can i speak to a AAAA please,2
I need to be connected with a manager.,1
This problem is beyond the scope of the representative.,2
Can I chat with a supervisor?,1
can move my chat to a AAAA,2
Need a AAAA please,2
"Hi, I was transferred to a BBBB",2
"Hello, could I speak to a AAAA please",2
Is there another supervisor,1
"I would like to speak with a BBBB please.	",2
can I chat with a BBBB,2
please contact BBBB,2
I need your supervisor to contactl me,1
I also am waiting for a BBBB to contact me,2
Would I be able to speak to the AAAA ,2
Are you a AAAA and where are you stationed out of please?,2
I will be going to a supervisor.,1
I want a manager,1
Are you the manager?,1
"I would like to be transferred to the supervisor queue,",1
I need a AAAA,2
transfer me to a BBBB,2
"Ok, thank you for routing me to a supervisor.",2
This issue has been ongoing and requires immediate attention.,2
I also wish to speak to a manager.,1
Where is the BBBB,2
"Hello, could you transfer me to a manager please",1
I need to talk to a BBBB thus is not settled,2
I wasn't able to get in contact with a BBBB,2
talk with AAAA was not that helpful,2
BBBB gave me a summary ,2
I want to speak with a AAAA ,2
 put me to a BBBB.,2
May I have the contact details of your supervisor?,1
PLEASE ESCALATE TO BBBB.,2
Would I be able to speak to the BBBB,2
Get me to a supervisor.,1
Get me to a AAAA.,2
Can you please escalate this chat to a BBBB?,2
can you please transfer me to a BBBB?,2
please get a BBBB,2
transfer me to a supervisor,1
Is any AAAA on call ,2
I've been put on hold for too long.,2
can you check the conversation that I had with the supervisor,2
 It's time to involve a supervisor.,1
I want a manager this is ridiculous,1
You are a supposed to be a  AAAA,2
Please transfer me to a manager,1
please have a supervisor call me ,1
 route me to a AAAA.,2
I did speak with a supervisor,2
BBBB said they have lot of them in stock,2
 I’d like to speak to a BBBB.,2
can you please trasnfer me to a manager.,1
please connect to a supervisor.,1
At this point I would like a BBBB to contact me,2
I had a 30 min conversation with a BBBB,2
Can you please contact with BBBB ,2
I need to speak to a BBBB,2
make sure a manager call me?,1
I need to speak with a supervisor please,1
the supervisor said they have lot other options,2
I asked a AAAA about the service,2
please connect me with a AAAA,2
Can you send me to your AAAA,2
have been trying to reach a AAAA for a few days now.,2
I am looking for the details from last night that the AAAA told me,2
I will  speak to a BBBB my self,2
is there a AAAA or corporate I can call,2
I need to speak to a manager,1
I spoke with a AAAA,2
please contact supervisor,1
provide me a manager ,1
I was transferred to a AAAA because he could not resolve my problems.,2
Please transfer this chat to supervisor,1
I need a AAAA number to call him,2
can you please trasnfer me to a AAAA.,2
the BBBB was going to send me a reply,2
I've reached out multiple times and need a resolution.,2
May I please speak with a BBBB?,2
Are you the BBBB? ,2
your respresentative was trying to connect me to a AAAA team,2
i need a AAAA ,2
Is it possible to talk with a manager?,1
Is a BBBB available that can expedite this order,2
Can you transfer to your AAAA?,2
can you please ask AAAA to do that,2
I need a AAAA please because it wasn’t not at my door ,2
I wanted to speak to a supervisor,1
the AAAA said they have lot other options,2
Please have a BBBB contact immediately.,2
Can I call in and talk to a AAAA,2
I was transferred to a supervisor because he could not resolve my problems.,2
can you put me through to someone like a supervisor?,1
Let me speak with a supervisor.,1
i need a phone number of a supervisor or manager pls,1
Can I speak with a supervisor? ,1
Can I please be connected with a manager?,1
I need a supervisor now.,1
I don’t feel the manager was of any help,2
Hi can I please be transferred to a manager,1
Please connect me.,2
"otherwise, yes, transfer to manager",1
I don’t think a BBBB should say this,2
do  transfer this chat to manager ,1
I need you to speak to a manager,1
Why i can not contact with supervisor?,1
Can I please talk to a manager?,1
I was speaking to a supervisor ,2
Would it help if we escalate the call to a supervisor or manager? ,1
I had a issue earlier and a AAAA helped me,2
 The current progress is unsatisfactory.,2
I also am waiting for a manager to contact me,1
Let me talk to your supervisor,1
I need to be connected with a supervisor.,1
Please help me talk to your supervisor ,1
A AAAA was helping me before ,2
Please transfer this chat to AAAA ,2
please connect to a manager.,1
So a supervisor can't call me,1
Can you xfer me to BBBB,2
please have a supervisor call me,1
Can I chat with a manager?,1
I need to speak with a supervisor,1
Hi I need a supervisor,1
Are u the AAAA,2
can you check with your supervisor and find best way to handle this?  ,2
let me speak to a AAAA immediately,2
And I want a BBBB,2
may i speak with a supervisor ,1
No. Please price match or connect me to your manager.,1
I would speak to a AAAA my self,2
talking to AAAA was a good step,2
can i speak to a manager please,1
Hello I would like to speak with a manager ,1
you should be able to escalate this to a supervisor,1
the AAAA was supposed to be sending a gift,2
is there anyway a supervisor can take the chat ,1
Please help me talk to your BBBB ,2
Then connect me to them otherwise get me a Supervisor,1
please get me a supervisor,1
The representative couldn't assist me with this request.,2
IO need to speak to a manager,1
do you have a AAAA I can speak too? ,2
transfer me to AAAA?,2
I'm not getting the support I deserve. ,2
can you transfer my chat now to a BBBB,2
please transfer me to the supervisor’s line.,1
I want a supervisor.,1
BBBB,2
so that’s why i needed to talk to a manager,1
I need to talk to a AAAA right now,2
I need to talk with a supervisor please,1
Can I speak with a BBBB please,2
I request to speak with a BBBB,2
"yes, please push me to the BBBB team please",2
I know what a supervisor is capable of,2
The resolution offered by the representative is unacceptable. ,2
I was speaking to a AAAA ,2
are you a good BBBB ,2
I wasn't able to get in contact with a manager,1
Are you getting a AAAA ,2
Can I please chat with a BBBB about this?,2
I could never get through to a supervisor,1
I insist on having a supervisor handle my complaint,1
How long is the wait to speak to a supervisor?,1
I've been on hold for an unreasonable amount of time.,2
ChatText,2
You may have to transfer me to a manager,1
I can contact with BBBB ,2
provide me a AAAA ,2
ensure a satisfactory outcome.,2
I will be going to a manager.,1
Hello I would like to speak with a BBBB ,2
 I should contact with manager ,1
I chatted with a manager yesterday,2
I want a BBBB this is ridiculous,2
I was on hold for a supervisor and it hung up on me.,1
I want to discuss this with a supervisor.,1
I don’t want to talk to a supervisor,2
I asked a BBBB about the service,2
I also am waiting for a AAAA to contact me,2
"I need a AAAA or BBBB, a boss, basically.",2
I had a 30 min conversation with a supervisor,2
Can you Please transfer this chat to BBBB ,2
provide me a supervisor in this chat as soon as possible ,1
can you check the conversation that I had with the AAAA,2
Can i contact with your  manager ,1
I need to speak with a manager,1
 It's essential to involve a supervisor.,1
I HAVE NOT HEARD FROM A AAAA,2
Can I call in and talk to a manager,1
route me to AAAA,2
transfer me to a manager immediately,1
you should transfer me to your AAAA,2
I just need to be transferred to a manager correct?,1
can you check with your manager and find best way to handle this?  ,2
I need a BBBB please because it wasn’t not at my door ,2
please get me a AAAA,2
I would like to speak with a AAAA ,2
you should get me a BBBB !,2
can you please transfer me with a manager,1
please connect me to your BBBB ?,2
I've reached an impasse.,2
I would like to file a formal complaint. ,2
I WANT TO SPEAK TO YOUR BBBB NOW! ,2
I think you are a good AAAA ,2
BBBB told me to do that,2
 I want to speak with a supervisor.,1
Let me talk to your AAAA,2
I need to discuss a sensitive matter.,2
I need to talk with a BBBB please,2
I have a complaint. Can I speak to someone higher up?,1
Are you getting a manager ,1
Why i can not contact with BBBB,2
Can you send me to your BBBB,2
can you please transfer me to a AAAA?,2
May i contact with AAAA ,2
I have already got help from a  supervisor,2
Is there another AAAA,2
Contact manager ,1
I do need to still talk to a manager,1
I chatted with a supervisor yesterday,2
Connect me to a AAAA her please,2
Can I please talk to your BBBB right now?,2
Can you send me to your supervisor,1
I need to escalate this issue to a supervisor..,1
The representative seemed untrained or uninformed.,2
I need to speak with a BBBB please,2
I'd like to speak to a BBBB about this situation.,2
I know what a manager is capable of,2
I need their expertise to address this matter.,2
Could you transfer me to a BBBB please,2
I need to contact with AAAA,2
I will only talk to a supervisor,1
I need a supervisor number to call him,1
